"","SubjID","Image.1","Image.2","Image.3","T2.1","T3.1","T4.1","T.7","gender","age","height","weight","education","marriage","wor.env","environmentalist","gov.staff","smoke","T.35.2","fam.income","Location","Image","sub.topic","topic"
"1","A20171209B1321","PM10.0","<U+6D77><U+5E73><U+9762><U+4E0A><U+5347>","<U+6E29><U+5BA4><U+6548><U+5E94>","2","1","3","3","1","23","182","160","7","1","1","<U+5426>","0","<U+5426>","0","4","Dongguan","Image.1.tag","c-1","c"
"2","A20171209B1319","<U+6C7D><U+8F66><U+5C3E><U+6C14>","<U+5DE5><U+5382><U+6C61><U+6C34><U+6392><U+653E>",NA,"2","1","1","3","0","42","168","120","5","2","1","<U+5426>","0","<U+5426>","2",NA,"Dongguan","Image.1.tag","d-1","d"
"3","A20171209B1317","<U+53D8><U+5316><U+65E0><U+5E38>","<U+84DD><U+5929><U+767D><U+4E91>","<U+5929><U+9752><U+6C14><U+723D>","2","1","1","4","1","51","165","130","5","2","1","<U+5426>","0","<U+5426>","2","3","Dongguan","Image.1.tag","z","t"
"4","A20171209A1050","<U+6DFB><U+8863><U+4FDD><U+6696>","<U+6C14><U+5019><U+53D8><U+6696>","<U+51B7><U+70ED><U+4EA4><U+66FF>","2",NA,"1","3","1","33","170","200","7","2","1","<U+5426>","0","<U+5426>","1","6","Dongguan","Image.1.tag","f-3","f"
"5","A20171209A1001","<U+70ED>","<U+53D8><U+5316><U+5927>","<U+591A><U+7A7F>","1","1","1","3","0","16","160","97","3","1","1","<U+5426>","0","<U+5426>",NA,"3","Dongguan","Image.1.tag","t-2","t"
"6","A20171209A0925","<U+5929><U+6C14><U+53D8><U+5316><U+591A><U+7AEF>","<U+4E00><U+4F1A><U+590F><U+5929><U+4E00><U+4F1A><U+51AC><U+5929>","<U+5929><U+6C14><U+53D8><U+5316><U+592A><U+5FEB><U+4E86>","3","3","3","4","0","23","156","100","3","2",NA,NA,NA,"<U+5426>","1","4","Dongguan","Image.1.tag","z","t"
"7","A20171209A0922","<U+73B0><U+5728><U+51AC><U+5929><U+6CA1><U+6709><U+4EE5><U+524D><U+51AC><U+5929><U+51B7>","<U+5929><U+6C14><U+53D8><U+5316><U+65E0><U+5E38><U+4E0D><U+7A33><U+5B9A>","<U+7A7A><U+6C14><U+6C61><U+67D3>",NA,"1","1",NA,"0","30","157","100","3","2","1","<U+5426>","0","<U+5426>","0","2","Dongguan","Image.1.tag","x","t"
"8","A20171209A0920","<U+5E72><U+71E5>","<U+6E29><U+5DEE><U+5927>","<U+5E72><U+51B7>","3","3","1","5","0","29","160","100","6","2","1","<U+662F>","0","<U+5426>","1","5","Dongguan","Image.1.tag","e-1","e"
"9","A20171209B1318","<U+65F6><U+51B7><U+65F6><U+70ED>",NA,NA,"3","3","3","2","0","19","164","106","5","1","3",NA,NA,"<U+5426>","1","7","Dongguan","Image.1.tag","z","t"
"10","A20171209B1312","<U+6162><U+6027><U+75BE><U+75C5>","<U+6C61><U+67D3>","<U+63A7><U+5236><U+5DE5><U+4E1A><U+6C61><U+67D3>","2","2","2","4","1","50","168","140","5","2","1","<U+662F>","0","<U+5426>","1","3","Dongguan","Image.1.tag","e-2","e"
