SubjID,gender,age,education,fam.income,location,sub.topic,topic,perception
A20171209B1321,1,23,7,4,Dongguan,air pollution,pollution,2
A20171209B1319,0,42,5,4,Dongguan,vehicle/industrial exhaust,cause,3
A20171209B1317,1,51,5,3,Dongguan,capricious,temperature,3
A20171209A1050,1,33,7,6,Dongguan,re. temperature,adaptation,3
A20171209A1001,0,16,3,3,Dongguan,hot,temperature,3
A20171209A0925,0,23,3,4,Dongguan,capricious,temperature,0
A20171209A0922,0,30,3,2,Dongguan,anomaly,temperature,3
A20171209A0920,0,29,6,5,Dongguan,physical discomfort,health,1
A20171209B1318,0,19,5,7,Dongguan,capricious,temperature,0
A20171209B1312,1,50,5,3,Dongguan,disease,health,3
A20171209A0914,0,17,3,5,Dongguan,capricious,temperature,0
A20171209B1305,1,41,2,3,Dongguan,vehicle/industrial exhaust,cause,3
A20171209A0911,1,12,3,2,Dongguan,season,weather,2
A20171209A0910,1,61,4,5,Dongguan,air pollution,pollution,3
A20171209A0909,0,32,4,2,Dongguan,air pollution,pollution,3
A20171209A0908,0,23,4,4,Dongguan,other pollution,pollution,2
A20171209A0904,1,21,3,4,Dongguan,air pollution,pollution,3
A20171209A0902,0,39,3,2,Dongguan,flood,disaster,3
A20171209A0900,1,41,3,2,Dongguan,others,disaster,3
B20171209A0909,1,27,8,5,Dongguan,melting ice,disaster,2
B20171209A0945,0,28,4,4,Dongguan,capricious,temperature,3
B20171209A1013,1,16,3,3,Dongguan,global warming,scienific terms,0
B20171209A1045,1,22,4,5,Dongguan,hot,temperature,2
B20171209A1046,0,53,4,4,Dongguan,global warming,scienific terms,1
B20171209A1059,0,34,5,5,Dongguan,capricious,temperature,2
B20171209A1101,0,27,4,5,Dongguan,capricious,temperature,1
B20171209A1103,0,31,4,5,Dongguan,global warming,scienific terms,3
B20171209A1115,1,23,4,4,Dongguan,green house effect,scienific terms,3
B20171209A1128,1,34,4,3,Dongguan,disease,health,2
B20171209A1132,0,31,5,4,Dongguan,disease,health,2
B20171209A1139,0,30,5,3,Dongguan,global warming,scienific terms,3
B20171209A1145,0,28,4,4,Dongguan,global warming,scienific terms,1
B20171209A1200,1,27,5,4,Dongguan,physical discomfort,health,1
B20171209B1530,0,15,3,6,Dongguan,socio-economic impact,socioeconomic_impact,2
B20171209B1533,0,15,3,7,Dongguan,green house effect,scienific terms,3
B20171209B1512,0,23,6,4,Dongguan,physical discomfort,health,3
B20171209B1429,0,28,7,3,Dongguan,bad weather,weather,1
B20171209B1430,0,30,4,4,Dongguan,physical discomfort,health,2
B20171209B1424,1,23,7,5,Dongguan,hot,temperature,3
B20171209B1403,1,23,3,3,Dongguan,capricious,temperature,1
B20171209B1503,1,34,4,3,Dongguan,disease,health,1
B20171209A1203,1,33,4,4,Dongguan,global warming,scienific terms,2
B20171209B1529,0,15,3,1,Dongguan,physical discomfort,health,3
C20171209A1035,1,26,3,2,Dongguan,nice weather,weather,3
C20171209A1040,0,40,2,3,Dongguan,physical discomfort,health,3
C20171209A1036,0,26,7,4,Dongguan,El Nino/ozone hole,scienific terms,2
C20171209A1041,1,44,4,4,Dongguan,vehicle/industrial exhaust,cause,3
C20171209A1045,1,55,3,1,Dongguan,air pollution,pollution,3
C20171209A1042,1,53,3,4,Dongguan,hot,temperature,3
C20171209A1037,1,45,3,3,Dongguan,cold,temperature,1
C20171209A1038,0,20,6,1,Dongguan,protect environment,mitigation,2
C20171209A1030,0,38,7,4,Dongguan,air pollution,pollution,3
C20171209A1031,1,33,6,4,Dongguan,re. temperature,adaptation,2
C20171209A1032,0,43,4,4,Dongguan,vehicle/industrial exhaust,cause,3
C20171209A1039,0,21,7,2,Dongguan,anomaly,temperature,3
C20171209A1033,0,23,4,1,Dongguan,other pollution,pollution,3
C20171209A1025,0,30,3,3,Dongguan,physical discomfort,health,3
C20171209A1026,1,23,6,4,Dongguan,nice weather,weather,2
C20171209A1020,0,29,7,4,Dongguan,other pollution,pollution,3
C20171209A1021,0,40,3,3,Dongguan,hot,temperature,3
C20171209A1010,1,55,4,3,Dongguan,capricious,temperature,3
C20171209A1005,1,32,6,4,Dongguan,nice weather,weather,2
C20171209A1006,1,38,7,5,Dongguan,air pollution,pollution,3
C20171209A1007,1,30,6,4,Dongguan,nice weather,weather,3
C20171209A1000,0,26,7,3,Dongguan,nice weather,weather,3
C20171209A1001,1,70,2,2,Dongguan,nice weather,weather,3
C20171209A0955,1,28,7,4,Dongguan,others,disaster,3
C20171209A0950,0,45,4,3,Dongguan,nice weather,weather,2
C20171209A0915,0,54,2,3,Dongguan,nice weather,weather,3
C20171209A0920,0,40,6,4,Dongguan,bad weather,weather,3
C20171209A0935,1,13,3,2,Dongguan,nice weather,weather,0
C20171209A0930,1,43,4,4,Dongguan,nice weather,weather,2
C20171209A0936,0,15,3,2,Dongguan,hurricane,disaster,3
C20171209A0940,0,35,7,3,Dongguan,air pollution,pollution,3
C20171209A0920,1,24,4,3,Dongguan,El Nino/ozone hole,scienific terms,2
C20171209A0941,1,53,3,2,Dongguan,hot,temperature,3
C20171209A1051,0,38,4,4,Dongguan,nice weather,weather,0
C20171209A1100,0,15,4,4,Dongguan,capricious,temperature,3
C20171209A1200,0,16,4,3,Dongguan,bad weather,weather,1
C20171209A1150,0,14,3,2,Dongguan,green house effect,scienific terms,0
C20171209A1141,0,22,7,4,Dongguan,green house effect,scienific terms,2
C20171209A1125,0,28,6,4,Dongguan,nice weather,weather,3
C20171209A1116,1,15,4,3,Dongguan,anomaly,temperature,2
C20171209A1110,0,21,7,3,Dongguan,disease,health,3
C20171209A1111,0,15,4,5,Dongguan,anomaly,temperature,3
C20171209A1112,1,15,4,2,Dongguan,bad weather,weather,1
C20171209A1105,0,40,3,3,Dongguan,nice weather,weather,2
C20171209A1200,0,16,4,2,Dongguan,bad weather,weather,0
C20171209A1201,0,21,5,1,Dongguan,re. temperature,adaptation,1
C20171209A1155,1,40,3,2,Dongguan,bad weather,weather,0
C20171209A1156,0,36,3,2,Dongguan,bad weather,weather,0
C20171209A1157,0,45,3,3,Dongguan,bad weather,weather,1
C20171209A1151,0,42,7,4,Dongguan,hot,temperature,0
C20171209A1152,0,40,4,3,Dongguan,nice weather,weather,1
C20171209A1153,0,35,3,2,Dongguan,hot,temperature,3
C20171209A1154,0,28,6,3,Dongguan,nice weather,weather,2
C20171209A1158,1,50,7,3,Dongguan,air pollution,pollution,2
A20170903A1005,1,49,4,2,Dongguan,bad weather,weather,3
A20170903A1006,1,40,7,4,Dongguan,other pollution,pollution,1
A20170903A1007,1,38,7,3,Dongguan,hot,temperature,2
A20170903A1009,0,36,5,3,Dongguan,re. temperature,adaptation,3
A20170903A1010,0,43,4,4,Dongguan,hot,temperature,2
A20170903A1015,0,32,6,3,Dongguan,air pollution,pollution,2
A20170903A1016,0,38,7,4,Dongguan,anomaly,temperature,3
A20170903A1017,1,43,4,3,Dongguan,global warming,scienific terms,3
A20170903A1018,1,30,5,3,Dongguan,global warming,scienific terms,3
A20170903A1020,1,45,4,5,Dongguan,capricious,temperature,3
A20170903A1022,0,45,2,2,Dongguan,disease,health,3
A20170903A1023,1,44,3,3,Dongguan,rising sea,disaster,3
A20170903A1024,1,48,4,3,Dongguan,hot,temperature,1
A20170902P1203,1,29,4,3,Dongguan,vehicle/industrial exhaust,cause,2
A20170902P1204,0,45,2,3,Dongguan,vehicle/industrial exhaust,cause,0
A20170902P1202,0,18,5,4,Dongguan,air pollution,pollution,3
A20170902P1203,0,18,4,5,Dongguan,vehicle/industrial exhaust,cause,3
A20170902A1121,1,41,4,4,Dongguan,other pollution,pollution,0
A20170902A1122,1,45,3,3,Dongguan,vehicle/industrial exhaust,cause,1
A20170902A1123,1,43,3,3,Dongguan,vehicle/industrial exhaust,cause,0
A20170902A1124,1,39,3,3,Dongguan,vehicle/industrial exhaust,cause,1
A20170902A1125,1,33,3,3,Dongguan,vehicle/industrial exhaust,cause,1
A20170902A1126,1,42,4,3,Dongguan,vehicle/industrial exhaust,cause,1
A20170902A1013,0,43,4,3,Dongguan,vehicle/industrial exhaust,cause,1
A20170902A1117,0,37,7,6,Dongguan,air pollution,pollution,2
A20170902A1120,0,33,7,5,Dongguan,air pollution,pollution,3
A20170903A0945,1,31,6,1,Dongguan,earthquake,disaster,3
A20170903A0957,1,25,4,4,Dongguan,cold,temperature,2
A20170903A0958,1,30,6,3,Dongguan,cold,temperature,2
A20170903A0959,1,35,6,4,Dongguan,proverb,weather,3
A20170903A1000,0,32,7,3,Dongguan,global warming,scienific terms,3
A20170903A1001,1,16,4,3,Dongguan,degradation,pollution,2
A20170903A1002,1,30,6,5,Dongguan,hot,temperature,1
A20170903A1004,1,24,3,3,Dongguan,anomaly,temperature,3
A20170903A1040,1,52,3,4,Dongguan,hot,temperature,2
C20170902A0915,0,20,4,4,Dongguan,air pollution,pollution,3
C20170902A0920,0,43,5,3,Dongguan,capricious,temperature,2
C20170902A0925,0,26,6,3,Dongguan,hot,temperature,2
C20170902A0930,0,24,3,3,Dongguan,rising sea,disaster,2
C20170902A0935,0,30,7,4,Dongguan,flood,disaster,1
C20170902A0945,0,58,1,2,Dongguan,global warming,scienific terms,2
C20170902A0946,0,18,8,1,Dongguan,air pollution,pollution,3
C20170902A0947,0,30,4,4,Dongguan,air pollution,pollution,1
C20170902A0949,0,22,7,4,Dongguan,green house effect,scienific terms,3
C20170902A0951,0,29,4,2,Dongguan,re. weather change,adaptation,2
C20170902A0954,0,21,7,4,Dongguan,bad weather,weather,2
C20170902A0955,1,40,7,5,Dongguan,nice weather,weather,1
C20170902A0956,1,33,6,4,Dongguan,re. temperature,adaptation,2
C20170902A0957,0,58,3,1,Dongguan,re. temperature,adaptation,2
C20170902A0958,0,22,7,5,Dongguan,bad weather,weather,3
C20170902A0959,1,53,4,1,Dongguan,cold,temperature,2
C20170902A1000,0,18,7,5,Dongguan,El Nino/ozone hole,scienific terms,2
C20170902A1005,1,55,3,2,Dongguan,re. weather change,adaptation,3
